market_id,question,liquidity_tier,category,status,n_points,coverage
2169995,"MicroStrategy sells any Bitcoin by May 31, 2026?",flagship,Crypto,ok,4277,0.9900462962962963
601697,Fed decreases interest rates by 50+ bps after January 2026 meeting?,flagship,Economy/Business,ok,4319,0.9997685185185186
572469,Will Trump nominate Kevin Warsh as the next Fed chair?,flagship,Economy/Business,ok,4319,0.9997685185185186
669660,Will the Fed decrease interest rates by 50+ bps after the April 2026 meeting?,flagship,Economy/Business,ok,4312,0.9981481481481481
601700,Fed increases interest rates by 25+ bps after January 2026 meeting?,flagship,Economy/Business,ok,4319,0.9997685185185186
553813,Fed increases interest rates by 25+ bps after October 2025 meeting?,flagship,Economy/Business,ok,4120,0.9537037037037037
570363,Fed increases interest rates by 25+ bps after December 2025 meeting?,flagship,Economy/Business,ok,4320,1.0
669662,Will there be no change in Fed interest rates after the April 2026 meeting?,flagship,Economy/Business,ok,4312,0.9981481481481481
570360,Fed decreases interest rates by 50+ bps after December 2025 meeting?,flagship,Economy/Business,ok,4320,1.0
512325,Fed increases interest rates by 25+ bps after January 2025 meeting?,flagship,Economy/Business,ok,4320,1.0
669661,Will the Fed decrease interest rates by 25 bps after the April 2026 meeting?,flagship,Economy/Business,ok,4312,0.9981481481481481
542539,No change in Fed interest rates after September 2025 meeting?,flagship,Economy/Business,ok,4311,0.9979166666666667
654415,Will the Fed increase interest rates by 25+ bps after the March 2026 meeting?,flagship,Economy/Business,ok,4314,0.9986111111111111
601698,Fed decreases interest rates by 25 bps after January 2026 meeting?,flagship,Economy/Business,ok,4319,0.9997685185185186
570361,Fed decreases interest rates by 25 bps after December 2025 meeting?,flagship,Economy/Business,ok,4320,1.0
504494,Fed increases interest rates by 25+ bps after November 2024 meeting?,flagship,Economy/Business,ok,4314,0.9986111111111111
1171663,"Russia x Ukraine ceasefire by June 30, 2026?",flagship,Other,ok,3767,0.8719907407407408
812010,"Will Eleven die in ""Stranger Things: Season 5""?",flagship,Other,ok,4320,1.0
566331,Will Polymarket US go live in 2025?,flagship,Other,ok,4320,1.0
1162940,US forces enter Iran by March 31?,flagship,Other,ok,4292,0.9935185185185185
1180303,Khamenei out as Supreme Leader of Iran by February 28?,flagship,Other,ok,4320,1.0
507276,TikTok banned in the US before May 2025?,flagship,Other,ok,4320,1.0
508805,Will the Detroit Pistons win the Eastern Conference?,flagship,Other,ok,4320,1.0
503013,Will Biden finish his term?,flagship,Other,ok,4320,1.0
797327,Will Trump release the Epstein files by December 19?,flagship,Other,ok,4320,1.0
511754,Will Donald Trump be inaugurated?,flagship,Other,ok,4320,1.0
2270330,"US x Iran permanent peace deal by June 15, 2026?",flagship,Other,ok,4320,1.0
551963,Xi Jinping out in 2025?,flagship,Other,ok,4320,1.0
1706788,US x Iran ceasefire by April 7?,flagship,Other,ok,4286,0.9921296296296296
1198423,"US strikes Iran by February 28, 2026?",flagship,Other,ok,4302,0.9958333333333333
1994007,"Israel x Hezbollah ceasefire by April 18, 2026?",flagship,Other,ok,4233,0.9798611111111111
253641,Will any other Democratic Politician win the 2024 US Presidential Election?,flagship,Politics,ok,4314,0.9986111111111111
253697,Will Joe Biden win the 2024 Democratic Presidential Nomination?,flagship,Politics,ok,4320,1.0
253706,Will Donald Trump win the popular vote in the 2024 Presidential Election?,flagship,Politics,ok,4320,1.0
516767,Will Pierre Poilievre be the next Canadian Prime Minister?,flagship,Politics,ok,4320,1.0
253591,Will Donald Trump win the 2024 US Presidential Election?,flagship,Politics,ok,4314,0.9986111111111111
253593,Will Nikki Haley win the 2024 US Presidential Election?,flagship,Politics,ok,4314,0.9986111111111111
502571,Will Trump launch a coin before the election?,flagship,Politics,ok,4320,1.0
512246,Will Austin Scott be the first elected Speaker of the House for the 119th congress?,flagship,Politics,ok,4320,1.0
507242,Will the Democratic candidate win Pennsylvania by 1.5%-2.0%?,flagship,Politics,ok,4320,1.0
253610,Will Hillary Clinton win the 2024 US Presidential Election?,flagship,Politics,ok,4314,0.9986111111111111
534189,Will Lee Jae-myung be elected the next president of South Korea?,flagship,Politics,ok,4319,0.9997685185185186
253597,Will Kamala Harris win the 2024 US Presidential Election?,flagship,Politics,ok,4314,0.9986111111111111
253727,Kamala Harris wins the popular vote?,flagship,Politics,ok,4320,1.0
253609,Will Michelle Obama win the 2024 US Presidential Election?,flagship,Politics,ok,4314,0.9986111111111111
512340,Will Nicolae Ciucă win the 2024 Romanian Presidential election?,flagship,Politics,ok,4320,1.0
686122,Lighter market cap (FDV) >$1B one day after launch?,flagship,Science/Tech,ok,4320,1.0
558935,Will England win the 2026 FIFA World Cup?,flagship,Sports,ok,4320,1.0
507892,Will the Sacramento Kings win the 2025 NBA Finals?,flagship,Sports,ok,4320,1.0
503329,Will the Patriots win Super Bowl 2025?,flagship,Sports,ok,4320,1.0
558963,Will Morocco win the 2026 FIFA World Cup?,flagship,Sports,ok,4320,1.0
507310,Will Red Star Belgrade win the UEFA Champions League?,flagship,Sports,ok,4320,1.0
558970,Will Cape Verde win the 2026 FIFA World Cup?,flagship,Sports,ok,4285,0.9918981481481481
507286,Will Aston Villa win the UEFA Champions League?,flagship,Sports,ok,4320,1.0
558949,Will Japan win the 2026 FIFA World Cup?,flagship,Sports,ok,4320,1.0
558965,Will Senegal win the 2026 FIFA World Cup?,flagship,Sports,ok,4285,0.9918981481481481
558936,Will France win the 2026 FIFA World Cup?,flagship,Sports,ok,4317,0.9993055555555556
558955,Will Ecuador win the 2026 FIFA World Cup?,flagship,Sports,ok,4285,0.9918981481481481
558951,Will Norway win the 2026 FIFA World Cup?,flagship,Sports,ok,4265,0.9872685185185185
558972,Will Saudi Arabia win the 2026 FIFA World Cup?,flagship,Sports,ok,4320,1.0
558934,Will Spain win the 2026 FIFA World Cup?,flagship,Sports,ok,4320,1.0
558960,Will Uzbekistan win the 2026 FIFA World Cup?,flagship,Sports,ok,4320,1.0
2053402,"Will the price of Bitcoin be above $74,000 on April 29?",mid,Crypto,ok,4313,0.9983796296296297
1345822,"Will the price of Bitcoin be above $70,000 on February 13?",mid,Crypto,ok,4316,0.9990740740740741
531921,Will the price of Bitcoin be greater than $90000 on April 4?,mid,Crypto,ok,4320,1.0
659259,"Will Ethereum reach $4,800 in November?",mid,Crypto,ok,4320,1.0
1214083,"Will the price of Bitcoin be above $88,000 on January 25?",mid,Crypto,ok,4320,1.0
510109,"Bitcoin above $69,000 on October 25?",mid,Crypto,ok,4320,1.0
516949,Will a new country buy Bitcoin in 2025?,mid,Crypto,ok,4320,1.0
1338373,"Bitcoin Up or Down - February 7, 3AM ET",mid,Crypto,ok,3017,0.6983796296296296
650379,Over $4B committed to the MegaETH public sale?,mid,Crypto,ok,4118,0.9532407407407407
1345824,"Will the price of Bitcoin be above $72,000 on February 13?",mid,Crypto,ok,4316,0.9990740740740741
